date,entity,Arquivo_origem,TPV,Transactions,Average_Ticket,TPV_MA7
2025-02-15,PF,Operations_analyst_data_2025-Q1.csv,55711139.77,310269,179.55754448559154,78554028.87142858
2025-02-15,PJ,Operations_analyst_data_2025-Q1.csv,146014579.35999998,1773168,82.34672595038936,163909550.06857142
2025-02-16,PF,Operations_analyst_data_2025-Q1.csv,42761667.67,221539,193.02094741783614,75989305.57571429
2025-02-16,PJ,Operations_analyst_data_2025-Q1.csv,68020129.27,1099786,61.848513501717605,162913043.7314286
2025-02-17,PF,Operations_analyst_data_2025-Q1.csv,75280438.05,231805,324.7576111386726,70880616.92714286
2025-02-17,PJ,Operations_analyst_data_2025-Q1.csv,172843065.61,1281067,134.92117555912378,160049768.95000002
2025-02-18,PF,Operations_analyst_data_2025-Q1.csv,67557083.06,236207,286.0079636081911,67279689.7257143
2025-02-18,PJ,Operations_analyst_data_2025-Q1.csv,171034498.94,1328289,128.76301688864396,157451843.10857144
2025-02-19,PF,Operations_analyst_data_2025-Q1.csv,74362297.91,245213,303.2559363084339,66214679.57
2025-02-19,PJ,Operations_analyst_data_2025-Q1.csv,180520956.34,1381565,130.66410653136117,157359557.0
2025-02-20,PF,Operations_analyst_data_2025-Q1.csv,87325195.48,279805,312.0930486588874,67503623.78428571
2025-02-20,PJ,Operations_analyst_data_2025-Q1.csv,186578799.46,1478138,126.22556179463623,158295582.19285712
2025-02-21,PF,Operations_analyst_data_2025-Q1.csv,68764016.10000001,294445,233.53772724957125,67394548.29142858
2025-02-21,PJ,Operations_analyst_data_2025-Q1.csv,180846008.14,1690704,106.96491410678628,157979719.5885714
2025-02-22,PF,Operations_analyst_data_2025-Q1.csv,51046933.02,314192,162.47050535978002,66728233.04142857
2025-02-22,PJ,Operations_analyst_data_2025-Q1.csv,142443312.77,1821830,78.1869399285334,157469538.64714286
2025-02-23,PF,Operations_analyst_data_2025-Q1.csv,37677980.78,225150,167.3461282700422,66001992.057142854
2025-02-23,PJ,Operations_analyst_data_2025-Q1.csv,60927771.64,1105955,55.09064260299922,156456344.7
2025-02-24,PF,Operations_analyst_data_2025-Q1.csv,68421323.55,220305,310.5754456321917,65022118.55714286
2025-02-24,PJ,Operations_analyst_data_2025-Q1.csv,161718987.94,1261401,128.20585043138541,154867190.74714285
2025-02-25,PF,Operations_analyst_data_2025-Q1.csv,69327194.48,241250,287.3666092435233,65274991.61714286
2025-02-25,PJ,Operations_analyst_data_2025-Q1.csv,168351079.10999998,1308946,128.61575581421997,154483845.05714288
2025-02-26,PF,Operations_analyst_data_2025-Q1.csv,66787282.63,253205,263.76762950968583,64192846.57714286
2025-02-26,PJ,Operations_analyst_data_2025-Q1.csv,173910390.8,1441398,120.65396982651565,153539478.55142856
2025-02-27,PF,Operations_analyst_data_2025-Q1.csv,73680491.27,275627,267.3195705427988,62243603.11857142
2025-02-27,PJ,Operations_analyst_data_2025-Q1.csv,187308849.33,1537130,121.8562186217171,153643771.39000002
2025-02-28,PF,Operations_analyst_data_2025-Q1.csv,81900558.15,346907,236.08793754522108,64120251.982857145
2025-02-28,PJ,Operations_analyst_data_2025-Q1.csv,194742245.26,1843033,105.66400344432247,155628948.12142858
2025-03-01,PF,Operations_analyst_data_2025-Q1.csv,55961509.85,378787,147.7387287578507,64822334.38714285
2025-03-01,PJ,Operations_analyst_data_2025-Q1.csv,140924280.92,1905701,73.94878888136176,155411943.57142857
2025-03-02,PF,Operations_analyst_data_2025-Q1.csv,36069325.34,318797,113.14198483674565,64592526.467142865
2025-03-02,PJ,Operations_analyst_data_2025-Q1.csv,61327035.44,1304701,47.00466654045639,155468981.25714284
2025-03-03,PF,Operations_analyst_data_2025-Q1.csv,48569772.21,300001,161.89870103766322,61756590.56142857
2025-03-03,PJ,Operations_analyst_data_2025-Q1.csv,99837880.71,1331756,74.96709660778701,146628823.08142856
2025-03-04,PF,Operations_analyst_data_2025-Q1.csv,45970163.39,281452,163.33216104344612,58419871.834285714
